G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Northern Arizona,W,73,55
2,11/11/2022,Gonzaga,L,63,64
3,11/15/2022,Kentucky,W,86,77
4,11/18/2022,Villanova,W,73,71
5,11/24/2022,Alabama,L,70,81
6,11/26/2022,Oregon,W,74,70
7,11/27/2022,Portland,W,78,77
8,11/30/2022,Notre Dame,L,52,70
9,12/4/2022,Northwestern,L,63,70
10,12/7/2022,Penn State,W,67,58
11,12/10/2022,Brown,W,68,50
12,12/21/2022,Oakland,W,67,54
13,12/30/2022,Buffalo,W,89,68
14,1/3/2023,Nebraska,W,74,56
15,1/7/2023,Michigan,W,59,53
16,1/10/2023,Wisconsin,W,69,65
17,1/13/2023,Illinois,L,66,75
18,1/16/2023,Purdue,L,63,64
19,1/19/2023,Rutgers,W,70,57
20,1/22/2023,Indiana,L,69,82
21,1/26/2023,Iowa,W,63,61
22,1/29/2023,Purdue,L,61,77
23,2/4/2023,Rutgers,L,55,61
24,2/7/2023,Maryland,W,63,58
25,2/12/2023,Ohio State,W,62,41
26,2/15/2023,Minnesota,,,
27,2/18/2023,Michigan,L,72,84
28,2/21/2023,Indiana,W,80,65
29,2/25/2023,Iowa,L,106,112
30,2/28/2023,Nebraska,W,80,67
31,3/4/2023,Ohio State,W,84,78
32,3/10/2023,Ohio State,L,58,68
33,3/17/2023,USC,W,72,62
34,3/19/2023,Marquette,W,69,60
35,3/23/2023,Kansas State,L,93,98
