G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Texas A&M-Corpus Christi,W,63,44
2,11/11/2022,Akron,W,73,54
3,11/13/2022,Arkansas-Pine Bluff,W,80,47
4,11/17/2022,South Dakota,W,79,42
5,11/21/2022,Marquette,W,58,55
6,11/23/2022,Utah,W,52,49
7,11/28/2022,Omaha,W,74,54
8,12/3/2022,Mississippi Valley State,W,82,52
9,12/11/2022,Minnesota,W,69,51
10,12/14/2022,Jackson State,W,69,59
11,12/17/2022,Nicholls State,W,68,66
12,12/20/2022,Drake,L,52,58
13,12/28/2022,Alabama,L,67,78
14,1/3/2023,Tennessee,L,53,87
15,1/7/2023,Ole Miss,W,64,54
16,1/11/2023,Georgia,L,50,58
17,1/14/2023,Auburn,L,63,69
18,1/17/2023,Tennessee,L,59,70
19,1/21/2023,Florida,L,59,61
20,1/25/2023,Alabama,L,63,66
21,1/28/2023,TCU,W,81,74
22,1/31/2023,South Carolina,W,66,51
23,2/4/2023,Missouri,W,63,52
24,2/8/2023,LSU,W,64,53
25,2/11/2023,Arkansas,W,70,64
26,2/15/2023,Kentucky,L,68,71
27,2/18/2023,Ole Miss,W,69,61
28,2/21/2023,Missouri,L,64,66
29,2/25/2023,Texas A&M,W,69,62
30,2/28/2023,South Carolina,W,74,68
31,3/4/2023,Vanderbilt,L,72,77
32,3/9/2023,Florida,W,69,68
33,3/10/2023,Alabama,L,49,72
34,3/14/2023,Pitt,L,59,60
