G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Grand Canyon,L,54,60
2,11/13/2022,Long Beach State,W,70,57
3,11/15/2022,Oregon,L,51,81
4,11/18/2022,Warner Pacific,W,106,64
5,11/20/2022,North Dakota,W,81,71
6,11/25/2022,UNC Greensboro,L,66,77
7,11/26/2022,Quinnipiac,L,53,70
8,11/27/2022,Middle Tennessee,L,71,72
9,11/30/2022,Southern Utah,W,86,83
10,12/8/2022,St. Thomas,W,82,65
11,12/10/2022,Omaha,W,82,54
12,12/17/2022,Northwest Indian College,W,144,59
13,12/20/2022,Arizona,L,64,85
14,12/29/2022,Idaho,W,72,58
15,12/31/2022,Eastern Washington,L,67,70
16,1/5/2023,Northern Colorado,W,77,56
17,1/7/2023,Northern Arizona,W,69,54
18,1/12/2023,Idaho State,W,81,68
19,1/14/2023,Weber State,W,67,52
20,1/16/2023,Idaho,L,70,74
21,1/21/2023,Montana,W,67,64
22,1/26/2023,Portland State,W,75,66
23,1/28/2023,Sacramento State,W,72,65
24,2/2/2023,Northern Arizona,W,69,68
25,2/4/2023,Northern Colorado,W,75,62
26,2/9/2023,Weber State,L,63,73
27,2/11/2023,Idaho State,W,58,52
28,2/18/2023,Montana,W,72,68
29,2/23/2023,Sacramento State,W,60,56
30,2/25/2023,Portland State,W,91,78
31,2/27/2023,Eastern Washington,W,79,74
32,3/5/2023,Northern Colorado,W,84,73
33,3/7/2023,Weber State,W,60,58
34,3/8/2023,Northern Arizona,W,85,78
35,3/17/2023,Kansas State,L,65,77
