G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Indiana,L,53,88
2,11/10/2022,Campbellsville,W,99,58
3,11/12/2022,Bellarmine,W,62,55
4,11/15/2022,West Virginia,L,57,75
5,11/18/2022,Vanderbilt,L,43,76
6,11/22/2022,Kentucky State,W,114,49
7,11/26/2022,Marshall,L,59,83
8,11/29/2022,Kentucky Christian,W,109,62
9,12/3/2022,North Alabama,L,75,81
10,12/11/2022,ETSU,W,61,57
11,12/14/2022,Georgia Southern,W,74,71
12,12/17/2022,Mercer,L,52,79
13,12/21/2022,Alice Lloyd,W,66,50
14,12/29/2022,Tennessee State,W,83,75
15,12/31/2022,UT-Martin,L,57,64
16,1/5/2023,Southern Indiana,W,84,80
17,1/7/2023,Eastern Illinois,W,69,59
18,1/12/2023,Tennessee Tech,L,62,79
19,1/14/2023,Southeast Missouri State,L,86,91
20,1/19/2023,SIU-Edwardsville,W,67,58
21,1/21/2023,Lindenwood,W,72,63
22,1/26/2023,Little Rock,W,76,72
23,1/28/2023,SIU-Edwardsville,W,55,50
24,2/2/2023,Tennessee Tech,W,64,45
25,2/4/2023,Southern Indiana,W,71,66
26,2/9/2023,Little Rock,L,68,72
27,2/11/2023,Southeast Missouri State,W,65,59
28,2/16/2023,Tennessee State,W,74,64
29,2/18/2023,Lindenwood,W,71,58
30,2/22/2023,Eastern Illinois,W,69,63
31,2/25/2023,UT-Martin,W,72,58
32,3/3/2023,Southeast Missouri State,L,58,65
33,3/15/2023,Clemson,W,68,64
34,3/19/2023,UAB,L,59,77
