G,Date,Opponent,W/L,Tm,Opp
1,2022-11-07,Austin Peay,W,99,50
2,2022-11-11,Campbell,W,73,67
3,2022-11-15,Florida International,W,107,74
4,2022-11-19,Elon,W,74,63
5,2022-11-23,Kansas,L,74,80
6,2022-11-24,Dayton,W,76,64
7,2022-11-25,Butler,W,76,61
8,2022-11-29,William & Mary,W,85,64
9,2022-12-02,Pitt,L,60,68
10,2022-12-06,Coppin State,W,94,72
11,2022-12-10,Miami (FL),L,73,80
12,2022-12-13,Furman,W,92,73
13,2022-12-17,Vanderbilt,W,70,66
14,2022-12-22,Louisville,W,76,64
15,2022-12-30,Clemson,L,64,78
16,2023-01-04,Duke,W,84,60
17,2023-01-07,Virginia Tech,W,73,69
18,2023-01-14,Miami (FL),W,83,81
19,2023-01-17,Georgia Tech,W,78,66
20,2023-01-21,UNC,L,69,80
21,2023-01-24,Notre Dame,W,85,82
22,2023-01-28,Wake Forest,W,79,77
23,2023-02-01,Florida State,W,94,66
24,2023-02-04,Georgia Tech,W,72,64
25,2023-02-07,Virginia,L,50,63
26,2023-02-11,Boston College,W,92,62
27,2023-02-14,Syracuse,L,72,75
28,2023-02-19,UNC,W,77,69
29,2023-02-22,Wake Forest,W,90,74
30,2023-02-25,Clemson,L,71,96
31,2023-02-28,Duke,L,67,71
32,2023-03-08,Virginia Tech,W,97,77
33,2023-03-09,Clemson,L,54,80
34,2023-03-17,Creighton,L,63,72
