G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Utah Tech,W,84,71
2,11/12/2022,Grand Canyon,W,59,46
3,11/15/2022,William Jessup,W,98,54
4,11/18/2022,UT Arlington,W,62,43
5,11/21/2022,Tulane,W,75,66
6,11/22/2022,Kansas State,L,87,96
7,11/23/2022,Akron,W,62,58
8,11/28/2022,Sam Houston,W,78,60
9,12/3/2022,Loyola Marymount,L,52,64
10,12/6/2022,Pepperdine,W,85,77
11,12/10/2022,Oregon,L,65,78
12,12/14/2022,UC-San Diego,W,64,56
13,12/21/2022,Norfolk State,W,78,66
14,12/28/2022,Boise State,W,74,72
15,12/31/2022,Air Force,W,75,69
16,1/4/2023,Colorado State,W,80,69
17,1/7/2023,San Jose State,W,67,40
18,1/10/2023,San Diego State,L,65,74
19,1/13/2023,Utah State,W,85,70
20,1/17/2023,Boise State,L,62,77
21,1/23/2023,New Mexico,W,97,94
22,1/28/2023,UNLV,L,62,68
23,1/31/2023,San Diego State,W,75,66
24,2/3/2023,Air Force,W,72,52
25,2/7/2023,New Mexico,W,77,76
26,2/10/2023,Fresno State,W,77,66
27,2/18/2023,Utah State,L,66,75
28,2/21/2023,San Jose State,W,66,51
29,2/24/2023,Fresno State,W,60,56
30,2/27/2023,Wyoming,L,71,80
31,3/4/2023,UNLV,L,67,69
32,3/9/2023,San Jose State,L,77,81
33,3/15/2023,Arizona State,L,73,98
