G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Chicago State,W,85,54
2,11/11/2022,Northern Illinois,W,63,46
3,11/15/2022,Georgetown,W,75,63
4,11/18/2022,Purdue Fort Wayne,W,60,52
5,11/22/2022,Liberty,W,66,52
6,11/23/2022,Auburn,L,42,43
7,11/28/2022,Pitt,L,58,87
8,12/4/2022,Michigan State,W,70,63
9,12/11/2022,Prairie View,W,61,51
10,12/17/2022,DePaul,W,83,45
11,12/20/2022,UIC,W,92,54
12,12/29/2022,Brown,W,63,58
13,1/1/2023,Ohio State,L,57,73
14,1/4/2023,Illinois,W,73,60
15,1/8/2023,Indiana,W,84,83
16,1/11/2023,Rutgers,L,62,65
17,1/15/2023,Michigan,L,78,85
18,1/31/2023,Iowa,L,70,86
19,1/23/2023,Wisconsin,W,66,63
20,1/25/2023,Nebraska,W,78,63
21,1/28/2023,Minnesota,W,81,61
22,2/2/2023,Michigan,L,51,68
23,2/5/2023,Wisconsin,W,54,52
24,2/9/2023,Ohio State,W,69,63
25,2/12/2023,Purdue,W,64,58
26,2/15/2023,Indiana,W,64,62
27,2/19/2023,Iowa,W,80,60
28,2/23/2023,Illinois,L,62,66
29,2/26/2023,Maryland,L,59,75
30,3/1/2023,Penn State,L,65,68
31,3/5/2023,Rutgers,W,65,53
32,3/10/2023,Penn State,L,65,67
33,3/16/2023,Boise State,W,75,67
34,3/18/2023,UCLA,L,63,68
