G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Defiance,W,92,27
2,11/11/2022,Bowling Green State,L,82,87
3,11/13/2022,Oklahoma State,L,62,91
4,11/16/2022,Toledo,L,90,112
5,11/19/2022,Eastern Michigan,W,92,90
6,11/25/2022,Long Beach State,L,70,78
7,11/26/2022,San Jose State,L,67,80
8,11/27/2022,Missouri State,L,64,76
9,12/1/2022,Cleveland State,L,64,80
10,12/3/2022,Purdue Fort Wayne,L,73,79
11,12/6/2022,Syracuse,L,66,95
12,12/18/2022,Boise State,L,57,77
13,12/21/2022,Michigan State,L,54,67
14,12/29/2022,Milwaukee,W,83,61
15,12/31/2022,Green Bay,W,81,65
16,1/6/2023,Northern Kentucky,W,64,63
17,1/8/2023,Wright State,W,75,73
18,1/12/2023,Robert Morris,W,69,65
19,1/14/2023,Youngstown State,L,69,85
20,1/19/2023,IU Indianapolis,W,83,77
21,1/23/2023,Detroit Mercy,W,76,67
22,1/27/2023,Youngstown State,L,73,77
23,1/29/2023,Robert Morris,L,63,68
24,2/2/2023,Purdue Fort Wayne,L,73,82
25,2/4/2023,Cleveland State,W,92,89
26,2/9/2023,Green Bay,W,59,47
27,2/11/2023,Milwaukee,L,77,80
28,2/15/2023,IU Indianapolis,W,85,81
29,2/17/2023,Detroit Mercy,L,74,96
30,2/23/2023,Wright State,W,75,68
31,2/25/2023,Northern Kentucky,L,69,78
32,3/2/2023,Northern Kentucky,L,74,81
