G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,NJIT,W,73,59
2,11/12/2022,Seton Hall,L,44,80
3,11/15/2022,Bucknell,W,82,71
4,11/19/2022,St. Francis (NY),L,58,61
5,11/23/2022,Old Westbury,W,98,51
6,11/27/2022,FDU,W,77,63
7,12/1/2022,Mount St. Mary's,L,58,73
8,12/3/2022,Fairfield,L,55,67
9,12/10/2022,St. Joseph's,L,57,73
10,12/13/2022,Hartford,W,58,57
11,12/18/2022,Quinnipiac,W,63,56
12,12/22/2022,Maryland,L,45,75
13,12/30/2022,Manhattan,W,67,57
14,1/1/2023,Iona,L,55,73
15,1/6/2023,Siena,L,60,70
16,1/8/2023,Canisius,L,60,67
17,1/13/2023,Quinnipiac,L,51,58
18,1/15/2023,Fairfield,L,52,56
19,1/20/2023,Marist,W,61,57
20,1/22/2023,Niagara,L,57,59
21,1/28/2023,Mount St. Mary's,W,73,62
22,2/3/2023,Rider,L,61,82
23,2/10/2023,Marist,W,67,56
24,2/12/2023,Manhattan,L,52,68
25,2/19/2023,Iona,L,53,73
26,2/24/2023,Canisius,L,53,66
27,2/26/2023,Niagara,W,66,65
28,3/2/2023,Rider,L,60,73
29,3/4/2023,Siena,W,73,72
30,3/7/2023,Fairfield,W,70,52
31,3/8/2023,Rider,W,70,62
32,3/10/2023,Marist,L,57,69
