G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Oral Roberts,W,78,70
2,11/10/2022,Vermont,W,79,53
3,11/13/2022,North Texas,W,63,33
4,11/16/2022,Southern,W,72,54
5,11/19/2022,Hofstra,W,76,48
6,11/24/2022,Vanderbilt,W,75,65
7,11/25/2022,Washington,L,64,68
8,11/30/2022,New Mexico,L,65,69
9,12/3/2022,Houston,L,48,53
10,12/7/2022,Missouri State,W,66,46
11,12/10/2022,San Diego State,W,68,61
12,12/14/2022,New Mexico State,W,81,68
13,12/18/2022,Colorado State,L,60,62
14,12/21/2022,Wyoming,W,66,54
15,12/29/2022,San Diego,W,85,58
16,12/31/2022,Santa Clara,W,67,64
17,1/3/2023,Academy of Art,W,84,64
18,1/7/2023,Portland,W,85,43
19,1/12/2023,Loyola Marymount,W,76,62
20,1/14/2023,San Francisco,W,78,61
21,1/19/2023,Pepperdine,W,73,44
22,1/21/2023,Santa Clara,W,77,58
23,1/28/2023,BYU,W,57,56
24,2/2/2023,San Francisco,W,68,59
25,2/4/2023,Gonzaga,W,78,70
26,2/9/2023,Loyola Marymount,L,74,78
27,2/11/2023,Portland,W,81,64
28,2/16/2023,San Diego,W,62,59
29,2/18/2023,BYU,W,71,65
30,2/23/2023,Pacific,W,83,52
31,2/25/2023,Gonzaga,L,68,77
32,3/6/2023,BYU,W,76,69
33,3/7/2023,Gonzaga,L,51,77
34,3/17/2023,VCU,W,63,51
35,3/19/2023,UConn,L,55,70
