G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Anderson (SC),W,109,85
2,11/10/2022,Spring Hill,W,80,61
3,11/12/2022,Belhaven (MS),W,90,38
4,11/17/2022,Alabama A&M,W,84,64
5,11/20/2022,Texas Southern,W,78,63
6,11/23/2022,Valparaiso,W,79,49
7,11/25/2022,Louisiana Tech,L,76,79
8,11/27/2022,UT-Southern,L,82,84
9,11/30/2022,DePaul,L,98,103
10,12/4/2022,UCF,L,77,80
11,12/10/2022,Louisiana,L,58,75
12,12/17/2022,South Carolina State,L,61,62
13,12/21/2022,Belmont,L,56,79
14,12/28/2022,Mercer,W,78,69
15,12/31/2022,The Citadel,W,75,63
16,1/4/2023,VMI,W,87,78
17,1/7/2023,UNC Greensboro,W,70,68
18,1/11/2023,Wofford,W,83,58
19,1/14/2023,Chattanooga,W,75,74
20,1/18/2023,ETSU,W,69,59
21,1/21/2023,Western Carolina,W,74,65
22,1/25/2023,Furman,L,84,91
23,1/28/2023,Wofford,L,77,85
24,2/1/2023,Western Carolina,W,85,77
25,2/4/2023,ETSU,W,73,62
26,2/8/2023,Mercer,W,70,69
27,2/11/2023,The Citadel,W,76,70
28,2/15/2023,UNC Greensboro,W,83,71
29,2/18/2023,VMI,W,96,61
30,2/22/2023,Chattanooga,L,75,70
31,2/25/2023,Furman,L,79,93
32,3/4/2023,Chattanooga,L,82,85
