G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Cal State Fullerton,W,80,57
2,11/11/2022,BYU,W,82,75
3,11/15/2022,Stanford,W,74,62
4,11/21/2022,Ohio State,W,88,77
5,11/22/2022,Arizona,L,70,87
6,11/23/2022,Arkansas,L,74,78
7,11/29/2022,UC-Irvine,W,72,69
8,12/2/2022,Occidental,W,95,57
9,12/5/2022,Troy,W,60,55
10,12/10/2022,Saint Mary's,L,61,68
11,12/12/2022,Kennesaw State,W,88,54
12,12/20/2022,UC-San Diego,W,62,46
13,12/28/2022,Air Force,W,71,55
14,12/31/2022,UNLV,W,76,67
15,1/7/2023,Wyoming,W,80,75
16,1/10/2023,Nevada,W,74,65
17,1/14/2023,New Mexico,L,67,76
18,1/18/2023,Colorado State,W,82,76
19,1/21/2023,Air Force,W,70,60
20,1/25/2023,Utah State,W,85,75
21,1/28/2023,San Jose State,W,72,51
22,1/31/2023,Nevada,L,66,75
23,2/3/2023,Boise State,W,72,52
24,2/8/2023,Utah State,W,63,61
25,2/11/2023,UNLV,W,82,71
26,2/15/2023,Fresno State,W,45,43
27,2/21/2023,Colorado State,W,77,58
28,2/25/2023,New Mexico,W,73,71
29,2/28/2023,Boise State,L,60,66
30,3/4/2023,Wyoming,W,67,50
31,3/9/2023,Colorado State,W,64,61
32,3/10/2023,San Jose State,W,64,49
33,3/11/2023,Utah State,W,62,57
34,3/16/2023,College of Charleston,W,63,57
35,3/18/2023,Furman,W,75,52
36,3/24/2023,Alabama,W,71,64
37,3/26/2023,Creighton,W,57,56
38,4/1/2023,Florida Atlantic,W,72,71
39,4/3/2023,UConn,L,59,76
