G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Akron,L,80,81
2,11/9/2022,Boise State,W,68,66
3,11/15/2022,St. Bonaventure,W,66,62
4,11/16/2022,Arkansas,L,56,71
5,11/19/2022,Stephen F. Austin,L,82,93
6,11/25/2022,Valparaiso,W,61,50
7,11/26/2022,James Madison,L,60,79
8,12/2/2022,Kent State,L,68,83
9,12/3/2022,Alabama,L,65,78
10,12/6/2022,Montana,L,56,81
11,12/10/2022,Eastern Washington,W,77,76
12,12/12/2022,Mount Marty,W,85,56
13,12/14/2022,Bellevue,,0,0
14,12/19/2022,Oral Roberts,L,40,79
15,1/30/2023,Kansas City,W,67,66
16,12/29/2022,Western Illinois,W,71,64
17,12/31/2022,St. Thomas,W,71,64
18,1/5/2023,North Dakota State,L,59,65
19,1/7/2023,North Dakota,W,60,59
20,1/14/2023,South Dakota,W,82,64
21,1/19/2023,Omaha,W,84,61
22,1/21/2023,Denver,W,76,61
23,1/26/2023,St. Thomas,L,54,60
24,1/28/2023,Western Illinois,L,73,81
25,2/2/2023,North Dakota,W,96,73
26,2/4/2023,North Dakota State,W,90,85
27,2/11/2023,South Dakota,W,72,67
28,2/16/2023,Denver,W,80,75
29,2/18/2023,Omaha,W,91,70
30,2/23/2023,Kansas City,W,73,50
31,2/25/2023,Oral Roberts,L,65,69
32,3/4/2023,Omaha,W,63,55
33,3/6/2023,North Dakota State,L,79,89
