G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Florida State,W,83,74
2,11/29/2022,Johnson (FL),W,125,51
3,11/14/2022,South Florida,W,68,67
4,11/18/2022,Rider,W,78,68
5,11/19/2022,Niagara,L,62,66
6,11/27/2022,Campbell,L,85,87
7,12/4/2022,Florida,L,51,89
8,12/10/2022,Webber,W,83,59
9,12/14/2022,College of Charleston,L,60,65
10,12/17/2022,Ohio,L,66,85
11,12/21/2022,UCF,L,58,73
12,12/30/2022,Lipscomb,W,86,80
13,1/2/2023,North Florida,W,68,62
14,1/5/2023,Jacksonville,W,73,61
15,1/7/2023,North Alabama,W,95,85
16,1/12/2023,Bellarmine,W,80,51
17,1/14/2023,Eastern Kentucky,L,70,85
18,1/19/2023,Kennesaw State,L,81,82
19,1/21/2023,Jacksonville State,W,87,81
20,1/26/2023,Liberty,L,45,74
21,1/28/2023,Queens (NC),L,65,71
22,2/2/2023,North Alabama,W,79,57
23,2/4/2023,Central Arkansas,W,99,80
24,2/9/2023,Jacksonville,W,70,67
25,2/11/2023,North Florida,L,81,92
26,2/15/2023,Florida Gulf Coast,W,75,72
27,2/18/2023,Florida Gulf Coast,W,88,84
28,2/22/2023,Austin Peay,W,76,51
29,2/24/2023,Lipscomb,L,91,98
30,2/28/2023,Lipscomb,L,70,83
31,3/19/2023,Milwaukee,L,83,87
