G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Arkansas-Pine Bluff,W,73,72
2,11/11/2022,Lamar,W,77,66
3,11/14/2022,Northwestern State,L,63,64
4,11/17/2022,Louisiana-Monroe,W,95,60
5,11/25/2022,California,W,59,48
6,11/26/2022,Iowa,W,79,66
7,11/30/2022,Providence,W,75,62
8,12/6/2022,Jackson State,W,78,51
9,12/10/2022,SMU,W,83,75
10,12/18/2022,Mississippi Valley State,W,88,43
11,12/21/2022,Utah,W,75,71
12,12/28/2022,Central Arkansas,W,103,57
13,12/31/2022,Texas Tech,W,67,61
14,1/4/2023,Baylor,W,88,87
15,1/7/2023,Iowa State,L,67,69
16,1/11/2023,Texas,L,75,79
17,1/14/2023,Kansas State,W,82,68
18,1/18/2023,West Virginia,L,65,74
19,1/21/2023,Kansas,W,83,60
20,1/24/2023,Oklahoma,W,79,52
21,1/28/2023,Mississippi State,L,74,81
22,1/31/2023,West Virginia,W,76,72
23,2/4/2023,Oklahoma State,L,73,79
24,2/7/2023,Kansas State,L,61,82
25,2/11/2023,Baylor,L,68,72
26,2/15/2023,Iowa State,L,59,70
27,2/18/2023,Oklahoma State,W,100,75
28,2/20/2023,Kansas,L,58,63
29,2/25/2023,Texas Tech,W,83,82
30,3/1/2023,Texas,W,75,73
31,3/4/2023,Oklahoma,L,60,74
32,3/9/2023,Kansas State,W,80,67
33,3/10/2023,Texas,L,60,66
34,3/17/2023,Arizona State,W,72,70
35,3/19/2023,Gonzaga,L,81,84
