G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Tennessee Tech,W,75,43
2,11/13/2022,Colorado,L,66,78
3,11/16/2022,Florida Gulf Coast,W,81,50
4,11/23/2022,Butler,W,71,45
5,11/24/2022,USC,W,73,66
6,11/25/2022,Kansas,W,64,50
7,11/30/2022,McNeese State,W,76,40
8,12/4/2022,Alcorn State,W,94,40
9,12/7/2022,Eastern Kentucky,W,84,49
10,12/11/2022,Maryland,W,56,53
11,12/17/2022,Arizona,L,70,75
12,12/21/2022,Austin Peay,W,86,44
13,12/28/2022,Ole Miss,W,63,59
14,1/3/2023,Mississippi State,W,87,53
15,1/7/2023,South Carolina,W,85,42
16,1/10/2023,Vanderbilt,W,77,68
17,1/14/2023,Kentucky,L,56,63
18,1/17/2023,Mississippi State,W,70,59
19,1/21/2023,LSU,W,77,56
20,1/25/2023,Georgia,W,70,41
21,1/28/2023,Texas,W,82,71
22,2/1/2023,Florida,L,54,67
23,2/4/2023,Auburn,W,46,43
24,2/8/2023,Vanderbilt,L,65,66
25,2/11/2023,Missouri,L,85,86
26,2/15/2023,Alabama,W,68,59
27,2/18/2023,Kentucky,L,54,66
28,2/21/2023,Texas A&M,L,63,68
29,2/25/2023,South Carolina,W,85,45
30,2/28/2023,Arkansas,W,75,57
31,3/4/2023,Auburn,L,70,79
32,3/9/2023,Ole Miss,W,70,55
33,3/10/2023,Missouri,L,71,79
34,3/16/2023,Louisiana,W,58,55
35,3/18/2023,Duke,W,65,52
36,3/23/2023,Florida Atlantic,L,55,62
