G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Louisiana-Monroe,W,87,54
2,11/11/2022,Abilene Christian,W,77,58
3,11/17/2022,Murray State,L,79,88
4,11/18/2022,Colorado,L,75,103
5,11/20/2022,Loyola (IL),W,67,51
6,11/25/2022,DePaul,W,82,66
7,11/30/2022,SMU,W,83,64
8,12/3/2022,Boise State,L,71,86
9,12/11/2022,Oregon State,W,72,54
10,12/17/2022,Memphis,L,79,83
11,12/20/2022,Wofford,L,62,67
12,12/27/2022,Northwestern State,W,64,52
13,12/30/2022,Prairie View,W,86,66
14,1/4/2023,Florida,W,66,63
15,1/7/2023,LSU,W,69,56
16,1/11/2023,Missouri,W,82,64
17,1/14/2023,South Carolina,W,94,53
18,1/18/2023,Florida,W,54,52
19,1/21/2023,Kentucky,L,67,76
20,1/25/2023,Auburn,W,79,63
21,1/28/2023,Vanderbilt,W,72,66
22,1/31/2023,Arkansas,L,70,81
23,2/4/2023,Georgia,W,82,57
24,2/7/2023,Auburn,W,83,78
25,2/11/2023,LSU,W,74,62
26,2/15/2023,Arkansas,W,62,56
27,2/18/2023,Missouri,W,69,60
28,2/21/2023,Tennessee,W,68,63
29,2/25/2023,Mississippi State,L,62,69
30,2/28/2023,Ole Miss,W,69,61
31,3/4/2023,Alabama,W,67,61
32,3/10/2023,Arkansas,W,67,61
33,3/11/2023,Vanderbilt,W,87,75
34,3/12/2023,Alabama,L,63,82
35,3/16/2023,Penn State,L,59,76
