G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Stonehill,W,85,54
2,11/11/2022,Boston University,W,86,57
3,11/15/2022,Buffalo,W,84,64
4,11/18/2022,UNC Wilmington,W,86,50
5,11/20/2022,Delaware State,W,95,60
6,11/24/2022,Oregon,W,83,59
7,11/25/2022,Alabama,W,82,67
8,11/27/2022,Iowa State,W,71,53
9,12/1/2022,Oklahoma State,W,74,64
10,12/7/2022,Florida,W,75,54
11,12/10/2022,LIU,W,114,61
12,12/17/2022,Butler,W,68,46
13,12/20/2022,Georgetown,W,84,73
14,12/28/2022,Villanova,W,74,66
15,12/31/2022,Xavier,L,73,83
16,1/4/2023,Providence,L,61,73
17,1/7/2023,Creighton,W,69,60
18,1/11/2023,Marquette,L,76,82
19,1/15/2023,St. John's (NY),L,74,85
20,1/18/2023,Seton Hall,L,66,67
21,1/22/2023,Butler,W,86,56
22,1/25/2023,Xavier,L,79,82
23,1/31/2023,DePaul,W,90,76
24,2/4/2023,Georgetown,W,68,62
25,2/7/2023,Marquette,W,87,72
26,2/11/2023,Creighton,L,53,56
27,2/18/2023,Seton Hall,W,64,55
28,2/22/2023,Providence,W,87,69
29,2/25/2023,St. John's (NY),W,95,86
30,3/1/2023,DePaul,W,88,59
31,3/4/2023,Villanova,W,71,59
32,3/9/2023,Providence,W,73,66
33,3/10/2023,Marquette,L,68,70
34,3/17/2023,Iona,W,87,63
35,3/19/2023,Saint Mary's,W,70,55
36,3/23/2023,Arkansas,W,88,65
37,3/25/2023,Gonzaga,W,82,54
38,4/1/2023,Miami (FL),W,72,59
39,4/3/2023,San Diego State,W,76,59
