G,Date,Opponent,W/L,Tm,Opp
1,11/7/2022,Utah Valley,W,75,58
2,11/11/2022,Bradley,W,84,62
3,11/14/2022,Santa Clara,W,96,74
4,11/17/2022,San Diego,W,91,89
5,11/22/2022,Oral Roberts,W,95,85
6,12/1/2022,Utah Tech,W,86,81
7,12/4/2022,San Francisco,W,82,64
8,12/11/2022,Loyola Marymount,W,79,67
9,12/15/2022,Westminster (UT),W,106,68
10,12/19/2022,Weber State,L,72,75
11,12/22/2022,Seattle,W,84,56
12,12/23/2022,SMU,L,74,77
13,12/25/2022,Washington State,W,82,73
14,12/31/2022,Fresno State,W,67,54
15,1/3/2023,Air Force,W,77,65
16,1/7/2023,Boise State,L,59,82
17,1/10/2023,Wyoming,W,83,63
18,1/13/2023,Nevada,L,70,85
19,1/17/2023,UNLV,W,75,71
20,1/21/2023,San Jose State,W,75,74
21,1/25/2023,San Diego State,L,75,85
22,1/28/2023,Fresno State,W,70,53
23,2/1/2023,New Mexico,W,84,73
24,2/4/2023,Colorado State,W,88,79
25,2/8/2023,San Diego State,L,61,63
26,2/11/2023,San Jose State,L,64,69
27,2/14/2023,Air Force,W,80,65
28,2/18/2023,Nevada,W,75,66
29,2/21/2023,Wyoming,W,65,55
30,3/1/2023,UNLV,W,91,66
31,3/4/2023,Boise State,W,86,73
32,3/9/2023,New Mexico,W,91,76
33,3/10/2023,Boise State,W,72,62
34,3/11/2023,San Diego State,L,57,62
35,3/16/2023,Missouri,L,65,76
