G,Date,Opponent,W/L,Tm,Opp_Tm
1,11/7/2022,Texas State,W,83,61
2,11/12/2022,Boise State,L,61,71
3,11/15/2022,Prairie View,L,59,70
4,11/21/2022,Eastern Washington,W,82,56
5,11/25/2022,Detroit Mercy,W,96,54
6,12/1/2022,Oregon,L,60,74
7,12/4/2022,Utah,L,65,67
8,12/7/2022,Northern Kentucky,W,68,47
9,12/10/2022,UNLV,L,70,74
10,12/18/2022,Baylor,L,59,65
11,12/22/2022,George Washington,W,66,64
12,12/24/2022,Hawaii,L,51,62
13,12/25/2022,Utah State,L,73,82
14,12/30/2022,UCLA,L,66,67
15,1/1/2023,USC,W,81,71
16,1/5/2023,Arizona State,L,71,77
17,1/7/2023,Arizona,W,74,61
18,1/11/2023,California,W,66,51
19,1/14/2023,Stanford,W,60,59
20,1/19/2023,Utah,L,63,77
21,1/22/2023,Colorado,L,55,58
22,1/26/2023,Arizona,L,58,63
23,1/28/2023,Arizona State,W,75,58
24,2/2/2023,USC,L,70,80
25,2/4/2023,UCLA,L,52,76
26,2/11/2023,Washington,W,56,51
27,2/16/2023,Oregon State,W,80,62
28,2/19/2023,Oregon,W,68,65
29,2/23/2023,Stanford,W,67,63
30,2/25/2023,California,W,63,57
31,3/2/2023,Washington,W,93,84
32,3/8/2023,California,W,69,52
33,3/9/2023,Oregon,L,70,75
34,3/14/2023,Eastern Washington,L,74,81
